"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:19:08 GMT 2025","Tue Mar 18 14:19:08 GMT 2025","852","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 14:19:12 GMT 2025","Tue Mar 18 14:19:12 GMT 2025","51","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 14:19:35 GMT 2025","Tue Mar 18 14:19:36 GMT 2025","1491","Register tests in isolation","","","","","should not login if user already exists",""
"passed","Tue Mar 18 14:19:33 GMT 2025","Tue Mar 18 14:19:35 GMT 2025","1889","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 14:19:11 GMT 2025","Tue Mar 18 14:19:12 GMT 2025","429","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 14:19:15 GMT 2025","Tue Mar 18 14:19:17 GMT 2025","1784","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 14:19:08 GMT 2025","Tue Mar 18 14:19:09 GMT 2025","39","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 14:19:01 GMT 2025","Tue Mar 18 14:19:03 GMT 2025","1749","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 14:19:20 GMT 2025","Tue Mar 18 14:19:22 GMT 2025","1316","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 14:19:04 GMT 2025","Tue Mar 18 14:19:04 GMT 2025","755","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 14:19:25 GMT 2025","Tue Mar 18 14:19:26 GMT 2025","871","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:19:17 GMT 2025","Tue Mar 18 14:19:18 GMT 2025","867","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 14:19:12 GMT 2025","Tue Mar 18 14:19:12 GMT 2025","420","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:19:24 GMT 2025","Tue Mar 18 14:19:25 GMT 2025","1019","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:19:03 GMT 2025","Tue Mar 18 14:19:04 GMT 2025","775","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 14:19:04 GMT 2025","Tue Mar 18 14:19:04 GMT 2025","41","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 14:19:29 GMT 2025","Tue Mar 18 14:19:30 GMT 2025","672","Products page tests in isolation","","","","","should display all products",""
