"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:48:01 GMT 2025","Tue Mar 18 14:48:03 GMT 2025","1797","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 14:47:58 GMT 2025","Tue Mar 18 14:47:59 GMT 2025","423","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:48:22 GMT 2025","Tue Mar 18 14:48:24 GMT 2025","1495","Register tests in isolation","","","","","should not login if user already exists",""
"passed","Tue Mar 18 14:48:20 GMT 2025","Tue Mar 18 14:48:22 GMT 2025","2113","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 14:48:07 GMT 2025","Tue Mar 18 14:48:08 GMT 2025","1445","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 14:48:11 GMT 2025","Tue Mar 18 14:48:12 GMT 2025","1766","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:47:50 GMT 2025","Tue Mar 18 14:47:51 GMT 2025","772","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 14:47:58 GMT 2025","Tue Mar 18 14:47:58 GMT 2025","395","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 14:47:49 GMT 2025","Tue Mar 18 14:47:50 GMT 2025","787","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 14:48:03 GMT 2025","Tue Mar 18 14:48:04 GMT 2025","844","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 14:47:54 GMT 2025","Tue Mar 18 14:47:55 GMT 2025","884","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 14:47:55 GMT 2025","Tue Mar 18 14:47:55 GMT 2025","38","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 14:48:12 GMT 2025","Tue Mar 18 14:48:13 GMT 2025","856","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:48:16 GMT 2025","Tue Mar 18 14:48:17 GMT 2025","1179","Products page tests in isolation","","","","","should display all products",""
"passed","Tue Mar 18 14:47:50 GMT 2025","Tue Mar 18 14:47:50 GMT 2025","44","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 14:47:58 GMT 2025","Tue Mar 18 14:47:58 GMT 2025","43","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 14:47:48 GMT 2025","Tue Mar 18 14:47:49 GMT 2025","1718","POST Product API tests","","","","","should successfully create product as admin (200)",""
