"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 12:11:14 GMT 2025","Tue Mar 18 12:11:15 GMT 2025","805","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 12:11:10 GMT 2025","Tue Mar 18 12:11:11 GMT 2025","792","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 12:11:11 GMT 2025","Tue Mar 18 12:11:12 GMT 2025","865","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 12:11:23 GMT 2025","Tue Mar 18 12:11:24 GMT 2025","879","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 12:11:11 GMT 2025","Tue Mar 18 12:11:11 GMT 2025","33","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 12:11:30 GMT 2025","Tue Mar 18 12:11:32 GMT 2025","2193","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 12:11:18 GMT 2025","Tue Mar 18 12:11:18 GMT 2025","36","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 12:11:08 GMT 2025","Tue Mar 18 12:11:10 GMT 2025","1600","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 12:11:18 GMT 2025","Tue Mar 18 12:11:18 GMT 2025","399","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 12:11:26 GMT 2025","Tue Mar 18 12:11:27 GMT 2025","1348","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 12:11:17 GMT 2025","Tue Mar 18 12:11:18 GMT 2025","445","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 12:11:21 GMT 2025","Tue Mar 18 12:11:23 GMT 2025","1956","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 12:11:15 GMT 2025","Tue Mar 18 12:11:15 GMT 2025","34","GET Products API tests","","","","","should get 401 without token",""
