"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:51:17 GMT 2025","Tue Mar 18 10:51:18 GMT 2025","388","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 10:51:11 GMT 2025","Tue Mar 18 10:51:12 GMT 2025","731","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 10:51:11 GMT 2025","Tue Mar 18 10:51:11 GMT 2025","36","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 10:51:25 GMT 2025","Tue Mar 18 10:51:26 GMT 2025","1402","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 10:51:17 GMT 2025","Tue Mar 18 10:51:17 GMT 2025","395","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 10:51:14 GMT 2025","Tue Mar 18 10:51:14 GMT 2025","35","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 10:51:14 GMT 2025","Tue Mar 18 10:51:14 GMT 2025","805","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 10:51:21 GMT 2025","Tue Mar 18 10:51:22 GMT 2025","884","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 10:51:08 GMT 2025","Tue Mar 18 10:51:10 GMT 2025","1754","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 10:51:17 GMT 2025","Tue Mar 18 10:51:17 GMT 2025","39","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 10:51:10 GMT 2025","Tue Mar 18 10:51:11 GMT 2025","796","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 10:51:20 GMT 2025","Tue Mar 18 10:51:21 GMT 2025","1646","Login page","","","","","should login successfully",""
