"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:59:50 GMT 2025","Tue Mar 18 14:59:50 GMT 2025","40","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 14:59:48 GMT 2025","Tue Mar 18 14:59:49 GMT 2025","1788","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 14:59:54 GMT 2025","Tue Mar 18 14:59:55 GMT 2025","838","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 14:59:49 GMT 2025","Tue Mar 18 14:59:50 GMT 2025","829","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 15:00:13 GMT 2025","Tue Mar 18 15:00:15 GMT 2025","1814","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:59:59 GMT 2025","Tue Mar 18 14:59:59 GMT 2025","409","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:59:50 GMT 2025","Tue Mar 18 14:59:51 GMT 2025","780","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 15:00:08 GMT 2025","Tue Mar 18 15:00:10 GMT 2025","1657","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 14:59:55 GMT 2025","Tue Mar 18 14:59:55 GMT 2025","42","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 15:00:02 GMT 2025","Tue Mar 18 15:00:03 GMT 2025","1863","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 14:59:58 GMT 2025","Tue Mar 18 14:59:58 GMT 2025","471","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 15:00:18 GMT 2025","Tue Mar 18 15:00:19 GMT 2025","1020","Products page tests in isolation","","","","","should display all products",""
"passed","Tue Mar 18 14:59:58 GMT 2025","Tue Mar 18 14:59:59 GMT 2025","47","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 15:00:15 GMT 2025","Tue Mar 18 15:00:15 GMT 2025","873","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 15:00:21 GMT 2025","Tue Mar 18 15:00:23 GMT 2025","2043","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 15:00:23 GMT 2025","Tue Mar 18 15:00:25 GMT 2025","1554","Register tests in isolation","","","","","should not login if user already exists",""
"passed","Tue Mar 18 15:00:04 GMT 2025","Tue Mar 18 15:00:05 GMT 2025","945","Login page","","","","","should fail to login",""
