"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:16:33 GMT 2025","Tue Mar 18 10:16:35 GMT 2025","1816","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 10:16:30 GMT 2025","Tue Mar 18 10:16:31 GMT 2025","385","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 10:16:22 GMT 2025","Tue Mar 18 10:16:24 GMT 2025","1572","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 10:16:40 GMT 2025","Tue Mar 18 10:16:41 GMT 2025","924","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 10:16:42 GMT 2025","Tue Mar 18 10:16:42 GMT 2025","802","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 10:16:38 GMT 2025","Tue Mar 18 10:16:39 GMT 2025","1235","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 10:16:25 GMT 2025","Tue Mar 18 10:16:25 GMT 2025","727","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 10:16:25 GMT 2025","Tue Mar 18 10:16:25 GMT 2025","36","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 10:16:31 GMT 2025","Tue Mar 18 10:16:31 GMT 2025","37","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 10:16:24 GMT 2025","Tue Mar 18 10:16:25 GMT 2025","732","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 10:16:28 GMT 2025","Tue Mar 18 10:16:28 GMT 2025","33","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 10:16:41 GMT 2025","Tue Mar 18 10:16:42 GMT 2025","900","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 10:16:35 GMT 2025","Tue Mar 18 10:16:36 GMT 2025","828","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 10:16:31 GMT 2025","Tue Mar 18 10:16:31 GMT 2025","391","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 10:16:27 GMT 2025","Tue Mar 18 10:16:28 GMT 2025","792","GET Products API tests","","","","","should successfully get products",""
