"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:52:47 GMT 2025","Tue Mar 18 14:52:48 GMT 2025","848","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 14:53:14 GMT 2025","Tue Mar 18 14:53:15 GMT 2025","1006","Products page tests in isolation","","","","","should display all products",""
"passed","Tue Mar 18 14:53:01 GMT 2025","Tue Mar 18 14:53:02 GMT 2025","999","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 14:52:48 GMT 2025","Tue Mar 18 14:52:48 GMT 2025","40","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 14:52:56 GMT 2025","Tue Mar 18 14:52:56 GMT 2025","55","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 14:52:53 GMT 2025","Tue Mar 18 14:52:53 GMT 2025","40","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 14:53:09 GMT 2025","Tue Mar 18 14:53:10 GMT 2025","1810","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:53:19 GMT 2025","Tue Mar 18 14:53:20 GMT 2025","1332","Register tests in isolation","","","","","should not login if user already exists",""
"passed","Tue Mar 18 14:52:56 GMT 2025","Tue Mar 18 14:52:57 GMT 2025","418","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:52:45 GMT 2025","Tue Mar 18 14:52:47 GMT 2025","1712","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 14:52:56 GMT 2025","Tue Mar 18 14:52:56 GMT 2025","465","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 14:53:05 GMT 2025","Tue Mar 18 14:53:06 GMT 2025","1409","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 14:52:59 GMT 2025","Tue Mar 18 14:53:01 GMT 2025","1995","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 14:53:17 GMT 2025","Tue Mar 18 14:53:19 GMT 2025","2077","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 14:52:52 GMT 2025","Tue Mar 18 14:52:53 GMT 2025","823","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 14:53:11 GMT 2025","Tue Mar 18 14:53:11 GMT 2025","871","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:52:48 GMT 2025","Tue Mar 18 14:52:49 GMT 2025","746","POST Product API tests","","","","","should receive 403 as client",""
