"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 13:56:27 GMT 2025","Tue Mar 18 13:56:28 GMT 2025","1823","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 13:56:08 GMT 2025","Tue Mar 18 13:56:09 GMT 2025","399","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 13:56:24 GMT 2025","Tue Mar 18 13:56:24 GMT 2025","575","Products page tests in isolation","","","","","should display all products",""
"passed","Tue Mar 18 13:56:06 GMT 2025","Tue Mar 18 13:56:06 GMT 2025","33","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 13:56:21 GMT 2025","Tue Mar 18 13:56:22 GMT 2025","819","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 13:56:28 GMT 2025","Tue Mar 18 13:56:30 GMT 2025","1511","Register tests in isolation","","","","","should not login if user already exists",""
"passed","Tue Mar 18 13:56:16 GMT 2025","Tue Mar 18 13:56:17 GMT 2025","1210","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 13:56:00 GMT 2025","Tue Mar 18 13:56:01 GMT 2025","1714","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 13:56:02 GMT 2025","Tue Mar 18 13:56:02 GMT 2025","38","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 13:56:01 GMT 2025","Tue Mar 18 13:56:02 GMT 2025","753","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 13:56:09 GMT 2025","Tue Mar 18 13:56:09 GMT 2025","40","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 13:56:09 GMT 2025","Tue Mar 18 13:56:09 GMT 2025","385","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 13:56:20 GMT 2025","Tue Mar 18 13:56:21 GMT 2025","895","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 13:56:13 GMT 2025","Tue Mar 18 13:56:14 GMT 2025","860","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 13:56:02 GMT 2025","Tue Mar 18 13:56:03 GMT 2025","767","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 13:56:05 GMT 2025","Tue Mar 18 13:56:06 GMT 2025","817","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 13:56:11 GMT 2025","Tue Mar 18 13:56:13 GMT 2025","1771","Login page","","","","","should login successfully",""
